BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
69	30	47	75	46	72	75	78
69	30	47	75	46	72	75	78
52	26	39	64	44	43	61	55
18	7	18	34	17	16	17	47
18	7	18	34	17	16	17	47
32	18	30	56	52	36	49	58
103	57	104	85	76	85	52	60
72	35	50	53	65	58	74	80
72	35	50	53	65	58	74	80
75	36	55	53	65	61	74	81
72	35	50	53	65	58	74	81
84	48	66	90	91	88	66	84
84	48	66	90	91	88	66	84
104	75	82	110	109	114	89	107
96	71	72	95	106	111	78	91
110	77	83	113	114	118	91	108
106	74	81	105	109	111	84	103
41	21	38	168	74	52	55	168
13	11	9	4	15	15	5	13
103	50	77	87	97	87	64	106
121	74	109	97	148	115	108	82
53	39	43	33	44	53	60	35
45	24	35	23	41	50	43	25
34	19	27	83	45	33	47	45
58	41	60	75	96	60	62	90
67	59	69	36	75	47	48	69
42	46	35	35	33	34	35	40
42	46	35	35	33	34	35	40
199	99	150	177	157	117	152	128
20	8	17	28	36	12	22	38
70	18	35	69	50	53	36	55
107	43	63	87	66	89	69	113
88	40	55	67	61	78	73	98
27	14	23	20	49	26	68	37
65	35	81	79	118	106	89	101
140	74	149	144	179	173	184	166
80	49	57	67	64	56	61	75
39	12	36	34	24	18	30	49
39	12	36	34	24	18	30	49
29	6	18	26	21	25	27	25
130	57	103	127	79	90	67	103
165	79	110	125	143	86	93	117
158	76	135	192	144	116	108	170
106	46	85	117	74	49	78	125
157	72	160	192	162	158	144	170
91	27	82	76	54	37	55	59
50	33	42	64	46	40	40	45
65	42	55	52	63	50	67	51
71	33	66	74	91	107	166	89
84	42	89	84	99	127	189	108
96	49	102	95	110	135	196	122
125	67	143	118	134	158	237	161
125	67	144	121	133	157	236	158
4	1	4	6	9	5	4	5
46	10	29	29	56	44	32	49
88	41	68	92	62	61	37	77
291	172	286	295	252	233	223	206
58	35	38	109	59	53	60	100
41	23	65	65	39	38	43	80
57	17	43	64	32	30	34	43
45	19	29	42	41	31	34	51
36	26	35	40	48	41	48	48
78	40	59	42	52	53	34	15
54	24	49	87	35	44	49	52
134	71	107	124	83	88	87	81
10	4	10	3	4	6	6	4
